name,year,value,lastvalue,rank
Colombia,2002,61.317902,63.561501,46
Colombia,1983,41.518398,39.900501,47
Colombia,1975,29.8589,32.4967,45
Colombia,1998,69.770699,68.247597,41
Colombia,2001,63.561501,64.8461,44
Colombia,1976,31.839001,29.8589,45
Colombia,1985,43.500099,42.048801,50
Colombia,1992,54.347801,51.480202,47
Colombia,1986,44.317001,43.500099,49
Colombia,1981,39.064701,38.7943,47
Colombia,2011,74.388298,67.584999,44
Colombia,1968,25.600401,23.442301,41
Colombia,1965,21.119301,21.024,43
Colombia,1967,23.442301,21.7715,41
Colombia,1972,28.850599,28.098,42
Colombia,2008,65.217102,64.499702,49
Colombia,1984,42.048801,41.518398,48
Colombia,1950,7.5001998,7.5001998,42
Colombia,2003,60.994301,61.317902,49
Colombia,1977,32.6315,31.839001,47
Colombia,1982,39.900501,39.064701,46
Colombia,2000,64.8461,62.302898,42
Colombia,1960,16.030001,15.594,41
Colombia,1962,19.155399,17.895,39
Colombia,2006,63.706699,63.818699,48
Colombia,1966,21.7715,21.119301,43
Colombia,1993,59.950001,54.347801,42
